읍면동,구분,상호명,객실수
애월읍,가족호텔업,리치호텔,32
애월읍,가족호텔업,아길라 호텔,31
조천읍 ,호스텔업,제주리조트,25
서홍동,호스텔업,메종드 하버 39 호텔앤리조트,30
대정읍,소형호텔업,모슬포1호텔,24
한경면,휴양콘도미니엄업,사조그랜드리조트,50
조천읍 ,휴양콘도미니엄업,제주토비스콘도①,50
조천읍 ,휴양콘도미니엄업,라온골프클럽 콘도미니엄,80
한경면,휴양콘도미니엄업,엘스위트콘도,60
조천읍 ,휴양콘도미니엄업,한라산 콘도미니엄,50
조천읍 ,휴양콘도미니엄업,㈜케이피씨(구.㈜한국폴로컨트리클럽휴양콘도미니엄),33
회천동,휴양콘도미니엄업,소노벨 타워 A.B 제주,242
회수동,관광호텔업,CASALOMA HOTEL,108
회수동,가족호텔업,봄그리고가을 가족호텔,86
호근동,호스텔업,오렌지호텔,40
호근동,호스텔업,주식회사 포트에비뉴,20
호근동,호스텔업,성산비치호텔,28
호근동,호스텔업,더베이리조트,21
호근동,호스텔업,㈜알파캠프 제주원호스텔,20
호근동,호스텔업,돈내코힐 리조트,21
호근동,휴양콘도미니엄업,제주신화빌라스,721
해안동,가족호텔업,(주)하바나호텔앤리조트,36
해안동,가족호텔업,오로라호텔(구.아인피플 호텔),51
해안동,가족호텔업,에코패밀리호텔,90
해안동,휴양콘도미니엄업,㈜이랜드파크 한국콘도 제주중문,216
한림읍 ,가족호텔업,제주에어포트호텔,64
한림읍 ,가족호텔업,㈜호텔샹그릴라,124
한림읍 ,가족호텔업,이화호텔,64
한림읍 ,가족호텔업,수앤수리조트,40
한림읍 ,가족호텔업,샐리스 제주호텔,55
한림읍 ,가족호텔업,스카이호텔,31
한림읍 ,가족호텔업,블루스프링 부띠끄 호텔,31
한림읍 ,가족호텔업,통나무파크,30
한림읍 ,호스텔업,해미안,20
한림읍 ,호스텔업,이호리조트,24
한림읍 ,호스텔업,제이투(J2),30
한림읍 ,호스텔업,더비치,20
한림읍 ,호스텔업,호텔 더 도두,34
한림읍 ,호스텔업,씨스테이호텔,23
한림읍 ,호스텔업,흰수염고래리조트,24
한림읍 ,호스텔업,메이저2호스텔,47
한림읍 ,호스텔업,라인호텔,43
한림읍 ,호스텔업,호텔몽듀,20
한림읍 ,휴양콘도미니엄업,이랜드파크 켄싱턴리조트 제주한림점,50
한림읍 ,휴양콘도미니엄업,메가리조트제주,50
한림읍 ,휴양콘도미니엄업,(주)토비스레저산업 제주토비스콘도미니엄,68
한림읍 ,휴양콘도미니엄업,헤브론힐리조트,55
한림읍 ,휴양콘도미니엄업,일성비치콘도미니엄,178
한림읍 ,휴양콘도미니엄업,에버리스 골프 리조트,50
한림읍 ,휴양콘도미니엄업,라온프라이빗타운,934
한림읍 ,휴양콘도미니엄업,소노벨 타워 C 제주,156
한림읍 ,관광호텔업,(주)블랙스톤리조트,36
한림읍 ,관광호텔업,호텔라온제주,51
한림읍 ,관광호텔업,아루미호텔 협재점,55
하효동,호스텔업,오라호스텔,20
하원동,호스텔업,라오체호스텔,21
하원동,호스텔업,블루펄리조트,20
하원동,휴양콘도미니엄업,백통신원리조트 기린,76
하예동,관광호텔업,아리아호텔,51
하예동,관광호텔업,제주스테이,80
하예동,가족호텔업,송악리조트,30
하예동,호스텔업,불란지호스텔,20
하예동,호스텔업,팜밸리리조트,20
하예동,호스텔업,취다선리조트,25
하예동,휴양콘도미니엄업,제주녹지리조트1,188
표선면 ,호스텔업,휴마루호스텔,20
표선면 ,휴양콘도미니엄업,해비치리조트,215
표선면 ,휴양콘도미니엄업,(주)캐슬렉스제주휴양콘도미니엄,83
표선면 ,휴양콘도미니엄업,사이프러스 골프&리조트 휴양콘도미니엄,72
표선면 ,휴양콘도미니엄업,휘닉스 제주 섭지코지,350
표선면 ,관광호텔업,WE호텔,86
표선면 ,관광호텔업,유어스호텔,83
토평동,관광호텔업,해비치호텔,288
토평동,가족호텔업,글레즈하임호텔,42
토평동,호스텔업,제이하우스,21
토평동,호스텔업,오션트리,24
토평동,호스텔업,런호텔,32
토평동,휴양콘도미니엄업,오션스타 휴양콘도미니엄,330
토평동,휴양콘도미니엄업,씨사이드아덴,190
중문동,관광호텔업,제주 부영호텔 & 리조트,262
중문동,관광호텔업,파크선샤인제주관광호텔,105
중문동,관광호텔업,그랜드메르호텔 제주,94
중문동,가족호텔업,꼬뜨도르가족호텔,30
중문동,호스텔업,펠리스타운,20
중문동,호스텔업,패밀리아펜션,20
중문동,호스텔업,써니호텔,28
중문동,호스텔업,J두빛나래리조트,20
중문동,호스텔업,풍경호스텔,25
중문동,휴양콘도미니엄업,테디벨리리조트 휴양콘도미니엄,190
조천읍 ,관광호텔업,제주선샤인호텔,72
조천읍 ,관광호텔업,오션그랜드호텔,74
