순위,행정구역,읍면동,명
5,제주특별자치도 제주시 건입동,건입동,"1,738.20"
12,제주특별자치도 제주시 구좌읍,구좌읍,865.56
7,제주특별자치도 서귀포시 남원읍,남원읍,"1,066.06"
23,제주특별자치도 제주시 노형동,노형동,321.65
2,제주특별자치도 서귀포시 대륜동,대륜동,"2,766.60"
11,제주특별자치도 서귀포시 대정읍,대정읍,773.35
10,제주특별자치도 서귀포시 대천동,대천동,810
1,제주특별자치도 제주시 도두동,도두동,"3,023.00"
6,제주특별자치도 서귀포시 동홍동,동홍동,"1,373.19"
2,제주특별자치도 제주시 봉개동,봉개동,"2,465.00"
22,제주특별자치도 제주시 삼도1동,삼도1동,402
18,제주특별자치도 제주시 삼도2동,삼도2동,556.43
13,제주특별자치도 제주시 삼양동,삼양동,847.97
4,제주특별자치도 서귀포시 서홍동,서홍동,"1,639.83"
9,제주특별자치도 서귀포시 성산읍,성산읍,922.87
1,제주특별자치도 서귀포시 송산동,송산동,"3,827.00"
10,제주특별자치도 제주시 아라동,아라동,967.21
3,제주특별자치도 서귀포시 안덕면,안덕면,"1,811.50"
3,제주특별자치도 제주시 애월읍,애월읍,"2,153.75"
16,제주특별자치도 제주시 연동,연동,656.23
16,제주특별자치도 서귀포시 영천동,영천동,0
17,제주특별자치도 서귀포시 예래동,예래동,0
4,제주특별자치도 제주시 오라동,오라동,"2,150.14"
14,제주특별자치도 제주시 외도동,외도동,841.8
21,제주특별자치도 제주시 용담1동,용담1동,416.88
11,제주특별자치도 제주시 용담2동,용담2동,934.53
26,제주특별자치도 제주시 우도면,우도면,0
24,제주특별자치도 제주시 이도1동,이도1동,224.75
19,제주특별자치도 제주시 이도2동,이도2동,521.9
8,제주특별자치도 제주시 이호동,이호동,"1,080.50"
25,제주특별자치도 제주시 일도1동,일도1동,152.53
20,제주특별자치도 제주시 일도2동,일도2동,500.19
14,제주특별자치도 서귀포시 정방동,정방동,109.44
9,제주특별자치도 제주시 조천읍,조천읍,"1,069.36"
12,제주특별자치도 서귀포시 중문동,중문동,639
15,제주특별자치도 서귀포시 중앙동,중앙동,65.84
13,제주특별자치도 서귀포시 천지동,천지동,150.48
6,제주특별자치도 제주시 추자면,추자면,"1,552.00"
8,제주특별자치도 서귀포시 표선면,표선면,933.83
7,제주특별자치도 제주시 한경면,한경면,"1,152.14"
17,제주특별자치도 제주시 한림읍,한림읍,653.07
15,제주특별자치도 제주시 화북동,화북동,720.21
5,제주특별자치도 서귀포시 효돈동,효돈동,"1,622.33"
